image_file_name,lon,lat,alt
D3C1214-100097A013,-111.662,32.867,160000
D3C1214-100097A014,-111.692,32.721,160000
D3C1214-100097A015,-111.726,32.575,160000
D3C1214-100097F012,-111.618,32.919,160000
D3C1214-100097F013,-111.651,32.773,160000
D3C1214-100097F014,-111.684,32.627,160000
