image_id,top_left_x,top_left_y,top_right_x,top_right_y,bottom_right_x,bottom_right_y,bottom_left_x,bottom_left_y
D3C1216-200533A021.tif,3482.463,1334.404,347136.251,1417.587,347210.783,23235.459,3537.364,23198.526
D3C1216-200533A022.tif,3973.575,1268.523,347582.112,1104.819,347657.974,22932.008,4040.454,23132.645
D3C1216-200533A023.tif,3815.86,1294.476,347403.768,1083.524,347470.314,22906.055,3881.741,23159.597
D3C1216-200533F021.tif,3694.08,1364.35,346876.721,734.822,346985.191,22560.68,3618.217,23243.445
D3C1216-200533F022.tif,3364.676,1362.353,346569.277,680.254,346651.794,22494.799,3300.791,23243.445
D3C1216-200533F023.tif,3280.828,1408.27,346473.45,897.195,346543.989,22718.395,3186.997,23294.353
